          atime             vx             vy             vz             pr              t
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4720733E+00  1.4282937E-16
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4704324E+00  5.8104642E-17
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4692572E+00  3.0464412E-16
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4685972E+00 -3.5080976E-16
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4684688E+00  9.6722319E-16
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4672091E+00  1.1965454E-15
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4677426E+00  1.1329084E-15
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4689596E+00  9.0227697E-16
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4708385E+00  2.5201929E-16
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4733196E+00  3.7532607E-16
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4762626E+00  3.1037977E-15
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4794084E+00  5.1064081E-15
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4823611E+00 -5.0755410E-14
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4846319E+00 -6.7346309E-13
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4857621E+00  6.2624347E-13
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4854887E+00  6.2211235E-13
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4838586E+00 -6.6952971E-13
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4812145E+00 -5.2099735E-14
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4780578E+00  4.0648779E-15
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4748806E+00  2.1619496E-15
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4720554E+00  7.9892844E-16
  1.7868677E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4698053E+00  2.4708639E-16
