x,y,z,u,v,w,uu,vv,ww
-0.85285,0,1.6,1.0335275,0.00025030821,0.14285214,1.2240615e-05,7.9258559e-06,2.2110416e-06
-0.82883,0,1.6,1.034957,0.00025316107,0.14668001,1.3141264e-05,8.3685385e-06,2.4496795e-06
-0.8048,0,1.6,1.0365929,0.00025553083,0.1505139,1.3790713e-05,8.8398984e-06,2.7107242e-06
-0.78078,0,1.6,1.0384428,0.00025735095,0.15433328,1.5014587e-05,9.3416071e-06,3.0160149e-06
-0.75676,0,1.6,1.0405154,0.00025855361,0.15812069,1.6119984e-05,9.8760837e-06,3.3617956e-06
-0.73273,0,1.6,1.0428181,0.00025906583,0.16185692,1.7247711e-05,1.0445983e-05,3.7622904e-06
-0.70871,0,1.6,1.0453533,0.00025881028,0.16551671,1.8623705e-05,1.1053439e-05,4.2170977e-06
-0.68468,0,1.6,1.0481254,0.00025770623,0.16907964,2.0118969e-05,1.1701782e-05,4.732023e-06
-0.66066,0,1.6,1.0511316,0.00025567106,0.1725184,2.1532015e-05,1.2393535e-05,5.3233439e-06
-0.63664,0,1.6,1.0543702,0.00025261873,0.17580957,2.3056745e-05,1.3132275e-05,6.0066263e-06
-0.61261,0,1.6,1.0578364,0.00024846015,0.17892945,2.4896576e-05,1.3921948e-05,6.7856426e-06
-0.58859,0,1.6,1.0615188,0.00024311108,0.18185081,2.6494894e-05,1.4765811e-05,7.6792674e-06
-0.56456,0,1.6,1.0654082,0.00023648061,0.18455232,2.8593256e-05,1.5668831e-05,8.7052112e-06
-0.54054,0,1.6,1.0694869,0.00022848991,0.18700936,3.069626e-05,1.6634886e-05,9.883427e-06
-0.51652,0,1.6,1.0737388,0.00021905693,0.18920263,3.2904863e-05,1.766938e-05,1.1234879e-05
-0.49249,0,1.6,1.0781464,0.00020810332,0.19111472,3.5111872e-05,1.8778269e-05,1.2781065e-05
-0.46847,0,1.6,1.0826841,0.00019557333,0.19272848,3.7456447e-05,1.9966583e-05,1.4556826e-05
-0.44444,0,1.6,1.0873325,0.0001814025,0.19403274,4.0173141e-05,2.1241773e-05,1.658103e-05
-0.42042,0,1.6,1.0920637,0.00016556212,0.19501691,4.2819076e-05,2.2609749e-05,1.8901465e-05
-0.3964,0,1.6,1.0968549,0.00014802181,0.1956753,4.5725365e-05,2.4078547e-05,2.1545997e-05
-0.37237,0,1.6,1.1016836,0.00012876685,0.19600478,4.8724394e-05,2.5656912e-05,2.4567178e-05
-0.34835,0,1.6,1.1065216,0.00010782725,0.19600479,5.1890969e-05,2.7352111e-05,2.7995485e-05
-0.32432,0,1.6,1.1113495,8.5222315e-05,0.19567781,5.5152163e-05,2.9174645e-05,3.1893911e-05
-0.3003,0,1.6,1.1161413,6.1033303e-05,0.19502889,5.8456453e-05,3.1132524e-05,3.6320616e-05
-0.27628,0,1.6,1.120878,3.5341966e-05,0.19406492,6.2178057e-05,3.3236332e-05,4.1334236e-05
-0.25225,0,1.6,1.1255426,8.258893e-06,0.19279393,6.5806904e-05,3.549715e-05,4.699703e-05
-0.22823,0,1.6,1.1301131,-2.0035477e-05,0.19122696,7.0073564e-05,3.792325e-05,5.3394125e-05
-0.2042,0,1.6,1.1345776,-4.9367091e-05,0.18937383,7.4083076e-05,4.0526741e-05,6.0594417e-05
-0.18018,0,1.6,1.1389176,-7.9471246e-05,0.1872479,7.8446751e-05,4.3315255e-05,6.8679173e-05
-0.15616,0,1.6,1.1431216,-0.00011007127,0.18486083,8.3202337e-05,4.6299176e-05,7.7773003e-05
-0.13213,0,1.6,1.1471792,-0.00014084051,0.18222426,8.8311372e-05,4.9488669e-05,8.7959669e-05
-0.10811,0,1.6,1.1510759,-0.00017136375,0.1793534,9.4031803e-05,5.2889055e-05,9.9358803e-05
-0.084084,0,1.6,1.1548041,-0.00020122713,0.17625968,9.9690144e-05,5.6510071e-05,0.00011210111
-0.06006,0,1.6,1.1583526,-0.00022994879,0.17295762,0.00010637111,6.0357649e-05,0.00012630958
-0.036036,0,1.6,1.1617126,-0.00025704408,0.16946084,0.00011356792,6.4439226e-05,0.00014213835
-0.012012,0,1.6,1.1648748,-0.00028202969,0.16578383,0.00012185748,6.876258e-05,0.00015972518
0.012012,0,1.6,1.1678308,-0.00030445568,0.1619418,0.00013072089,7.3337228e-05,0.00017922822
0.036036,0,1.6,1.1705719,-0.00032393366,0.15795108,0.00014088575,7.8175256e-05,0.00020080747
0.06006,0,1.6,1.1730901,-0.00034017777,0.15382933,0.00015232144,8.3292539e-05,0.00022463431
0.084084,0,1.6,1.1753781,-0.00035303823,0.14959586,0.00016528689,8.8709582e-05,0.00025089106
0.10811,0,1.6,1.1774294,-0.00036254512,0.14527149,0.00018024864,9.445392e-05,0.00027977854
0.13213,0,1.6,1.1792391,-0.00036892009,0.14088091,0.00019690641,0.00010055716,0.00031152887
0.15616,0,1.6,1.1808054,-0.00037259114,0.13644633,0.00021629015,0.00010706515,0.00034641208
0.18018,0,1.6,1.1821278,-0.00037416077,0.13199827,0.00023821158,0.00011402363,0.00038469209
0.2042,0,1.6,1.1832109,-0.00037433686,0.12756298,0.00026273925,0.00012149495,0.00042670023
0.22823,0,1.6,1.1840631,-0.00037385996,0.12316721,0.00029058901,0.00012955332,0.00047279801
