x,y,z,u,v,w,uvar,vvar,wvar
3,0,0.47447,0.40910593,-0.0098919045,-0.36876631,0.047917719,0.046165652,0.029908924
3,0,0.47748,0.41354271,-0.010507634,-0.36922197,0.047560371,0.045908092,0.030088243
3,0,0.48048,0.41804787,-0.011435633,-0.36967291,0.047246972,0.045717498,0.030333793
3,0,0.48348,0.42259114,-0.012597029,-0.37011248,0.047023954,0.04558701,0.030623837
3,0,0.48649,0.42715234,-0.013876567,-0.37054892,0.046925192,0.045502649,0.030925398
3,0,0.48949,0.43167828,-0.015119642,-0.37100176,0.046969684,0.045442854,0.031194791
3,0,0.49249,0.43617221,-0.016175873,-0.37150722,0.047160633,0.045377522,0.031390449
3,0,0.4955,0.44064133,-0.01690454,-0.37210714,0.047493324,0.045270674,0.031477745
3,0,0.4985,0.44504062,-0.017193964,-0.37282958,0.047958397,0.045085087,0.031440201
3,0,0.5015,0.44934393,-0.017002666,-0.37368256,0.048561689,0.044785589,0.031294197
3,0,0.5045,0.45345988,-0.016375712,-0.3746223,0.049338261,0.044347412,0.031101923
3,0,0.50751,0.45722694,-0.015473215,-0.37552682,0.050380631,0.043763239,0.030987937
3,0,0.51051,0.46038603,-0.014944036,-0.37623571,0.051407449,0.043219495,0.031102972
3,0,0.51351,0.46344224,-0.015094297,-0.37686484,0.051720282,0.043052675,0.031407422
3,0,0.51652,0.46646833,-0.015050679,-0.3773199,0.052300503,0.042909539,0.031857419
3,0,0.51952,0.46933498,-0.015036299,-0.37763877,0.053041422,0.042795813,0.032311467
3,0,0.52252,0.47200862,-0.015162532,-0.37784628,0.05388581,0.042697655,0.032673298
3,0,0.52553,0.47450504,-0.015464808,-0.37795445,0.054804577,0.042595837,0.032883282
3,0,0.52853,0.47685467,-0.015925077,-0.37796828,0.055772868,0.042475095,0.032913291
3,0,0.53153,0.47914031,-0.016499421,-0.37789151,0.056779108,0.042327244,0.032765651
3,0,0.53453,0.48145282,-0.017130998,-0.37772749,0.05780685,0.042154584,0.032463555
3,0,0.53754,0.48389845,-0.017764653,-0.37748037,0.058837871,0.041968678,0.03204392
3,0,0.54054,0.48655746,-0.018346424,-0.3771594,0.059837614,0.041790752,0.031556653
3,0,0.54354,0.48952509,-0.018841041,-0.37677412,0.060777051,0.041644371,0.031049463
3,0,0.54655,0.4928857,-0.019226234,-0.37633559,0.061624255,0.041553412,0.030565609
3,0,0.54955,0.49667009,-0.019489853,-0.37586097,0.062340801,0.041537835,0.030143704
3,0,0.55255,0.50091899,-0.019635741,-0.37536404,0.062903478,0.041607337,0.029803681
3,0,0.55556,0.5056549,-0.019675333,-0.3748584,0.063298587,0.041759779,0.029549973
3,0,0.55856,0.5108279,-0.019625763,-0.37436237,0.063525156,0.041976011,0.029371807
3,0,0.56156,0.51641192,-0.019507562,-0.37388859,0.063607183,0.042222365,0.029239193
3,0,0.56456,0.52234684,-0.019341626,-0.3734512,0.063591206,0.042450551,0.0291099
3,0,0.56757,0.52857981,-0.019148028,-0.373064,0.06354989,0.042602852,0.028933744
3,0,0.57057,0.53498876,-0.018949845,-0.37274738,0.063583064,0.042618199,0.028664039
3,0,0.57357,0.5415164,-0.018772903,-0.37252352,0.063814494,0.042447285,0.028266607
3,0,0.57658,0.5481214,-0.018654967,-0.37242589,0.064390805,0.0420646,0.027735681
3,0,0.57958,0.55314876,-0.020220037,-0.37255471,0.065686208,0.040876938,0.027267734
3,0,0.58258,0.55749627,-0.021267294,-0.37248378,0.066805177,0.039826313,0.026816545
3,0,0.58559,0.56168157,-0.021761154,-0.37237399,0.067608006,0.038888909,0.026361759
3,0,0.58859,0.5659188,-0.021925501,-0.37237041,0.068062246,0.038011977,0.025910323
3,0,0.59159,0.57040364,-0.021917605,-0.37255623,0.068165579,0.037199741,0.025466515
3,0,0.59459,0.57525259,-0.021835059,-0.37296409,0.067932777,0.036492368,0.025037765
3,0,0.5976,0.58053498,-0.021730918,-0.37358717,0.067394411,0.035936412,0.024631415
3,0,0.6006,0.58620554,-0.021626943,-0.37437901,0.066601922,0.035574609,0.024259469
3,0,0.6036,0.59221789,-0.02152199,-0.3752748,0.065612784,0.035424224,0.023929756
3,0,0.60661,0.598488,-0.021402268,-0.37619497,0.064488583,0.035481012,0.023649865
3,0,0.60961,0.60484015,-0.021250522,-0.37704242,0.063304485,0.035715685,0.023428554
3,0,0.61261,0.61114746,-0.021050263,-0.37772872,0.062121747,0.036079044,0.023269418
3,0,0.61562,0.61728443,-0.020791377,-0.3781694,0.060994259,0.036509924,0.02317398
3,0,0.61862,0.62308192,-0.020477066,-0.3782882,0.059975463,0.036937429,0.023141223
